"","id","strides","drops","strides.cut","strides.new.length","h.target","h.original","h.test.random","h.test.contiguous"
"1",1,32,0.05,1,31,0.5,0.64270368257002,0.532790063192137,0.650832508258522
"2",2,32,0.05,1,31,0.5,0.513706920666853,0.502778683197685,0.509829951367574
"3",1,64,0.05,1,61,0.5,0.511807902512373,0.506947852159385,0.521875808401965
"4",2,64,0.05,1,61,0.5,0.63279777480755,0.634039321472635,0.609775934993057
"5",1,96,0.05,1,92,0.5,0.591930673575262,0.592894607870607,0.596548353658291
"6",2,96,0.05,1,92,0.5,0.572374991995283,0.606590572179994,0.524492156775668
"7",1,32,0.1,1,29,0.5,0.582133153039729,0.624341839638771,0.548905066055013
"8",2,32,0.1,1,29,0.5,0.241903085627127,0.334885345054558,0.228692684313515
"9",1,64,0.1,1,58,0.5,0.312952775580343,0.329191726572113,0.346849134611199
"10",2,64,0.1,1,58,0.5,0.538082370271208,0.495626438617241,0.480152140018996
"11",1,96,0.1,1,87,0.5,0.341819866086356,0.359373698480194,0.386620510171633
"12",2,96,0.1,1,87,0.5,0.516857416301034,0.477807418409269,0.560349250797415
"13",1,32,0.15,1,28,0.5,0.43701751381997,0.468058385358425,0.493931020403048
"14",2,32,0.15,1,28,0.5,0.564133452095324,0.534754574578721,0.524546578397276
"15",1,64,0.15,1,55,0.5,0.385798056175467,0.348940759983379,0.433928733047098
"16",2,64,0.15,1,55,0.5,0.493233118103817,0.456180409003049,0.471343130325899
"17",1,96,0.15,1,82,0.5,0.477925414392957,0.495979345025495,0.476001324637793
"18",2,96,0.15,1,82,0.5,0.650750670241192,0.595946839723038,0.63554324305756
"19",1,32,0.05,1,31,0.6,0.629422182916198,0.637890509412391,0.612305648755282
"20",2,32,0.05,1,31,0.6,0.694318208203185,0.616183898501797,0.661524774324615
"21",1,64,0.05,1,61,0.6,0.468385434539989,0.472820039946353,0.478439354148926
"22",2,64,0.05,1,61,0.6,0.555824892441509,0.535107920156792,0.573424383392557
"23",1,96,0.05,1,92,0.6,0.639251731130527,0.649423464432824,0.650117441041861
"24",2,96,0.05,1,92,0.6,0.534199694087962,0.566678421315737,0.472058809591923
"25",1,32,0.1,1,29,0.6,0.734567377403844,0.554179190574214,0.75521590867429
"26",2,32,0.1,1,29,0.6,0.498503770160722,0.354422413269989,0.545797528664582
"27",1,64,0.1,1,58,0.6,0.790483454163186,0.77499402488675,0.787278001422295
"28",2,64,0.1,1,58,0.6,0.597343818461755,0.675577432359103,0.627188403037842
"29",1,96,0.1,1,87,0.6,0.641994467581622,0.616032761927228,0.677511057443684
"30",2,96,0.1,1,87,0.6,0.612073625930352,0.607966844642768,0.604970895423088
"31",1,32,0.15,1,28,0.6,0.671308406521333,0.663484826627187,0.684382615117123
"32",2,32,0.15,1,28,0.6,0.624423663830385,0.681803464194527,0.640987567142118
"33",1,64,0.15,1,55,0.6,0.689020478771068,0.610375207768055,0.701966844684677
"34",2,64,0.15,1,55,0.6,0.592941770991078,0.661269822304137,0.585903890297282
"35",1,96,0.15,1,82,0.6,0.691819656444015,0.703045564841479,0.691343303234316
"36",2,96,0.15,1,82,0.6,0.488187102337601,0.539645929025952,0.538184933618409
"37",1,32,0.05,1,31,0.999,0.912744143210817,0.927162035196787,0.912272541284096
"38",2,32,0.05,1,31,0.999,0.920701062032254,0.89649098798004,0.899264633737272
"39",1,64,0.05,1,61,0.999,0.952349221659591,0.943630574177019,0.945100559204817
"40",2,64,0.05,1,61,0.999,0.936353973086225,0.938587322740816,0.934097609074321
"41",1,96,0.05,1,92,0.999,0.974160584098427,0.970645613300614,0.972939530630596
"42",2,96,0.05,1,92,0.999,0.958474200868746,0.952937629977474,0.952998664125567
"43",1,32,0.1,1,29,0.999,0.884053468614351,0.892372746567708,0.863531209122622
"44",2,32,0.1,1,29,0.999,0.786293568352936,0.767028989440296,0.831425911126891
"45",1,64,0.1,1,58,0.999,0.924250528805889,0.904406201934442,0.903841455110349
"46",2,64,0.1,1,58,0.999,0.894955360890366,0.92542473911983,0.892145526843146
"47",1,96,0.1,1,87,0.999,0.917214563961374,0.914480916582746,0.898007142303279
"48",2,96,0.1,1,87,0.999,0.949552307453938,0.950930566869676,0.947622608059552
"49",1,32,0.15,1,28,0.999,0.927892805290409,0.926239480457501,0.909583166057011
"50",2,32,0.15,1,28,0.999,0.925090544134146,0.924425613264088,0.932401573234005
"51",1,64,0.15,1,55,0.999,0.938163601129083,0.874115958168637,0.935607315501664
"52",2,64,0.15,1,55,0.999,0.882802966719028,0.890284321906976,0.890158560982673
"53",1,96,0.15,1,82,0.999,0.930104250014294,0.907587712600827,0.893853188368259
"54",2,96,0.15,1,82,0.999,0.963820091893664,0.960963173730066,0.940505609529093
