"id","rep","strides","drops","strides.cut","strides.new.length","h.original","h.random","h.contiguous"
"S001_G01_D01_B01_T01",50,50,0.02,1,49,0.60176797894598,0.060451702773124,0.0608058021571394
"S001_G01_D01_B01_T01",50,50,0.04,2,48,0.60176797894598,0.0610841072138632,0.0620416997971386
"S001_G01_D01_B01_T01",50,50,0.06,3,47,0.60176797894598,0.0609491264792578,0.0590349739194522
"S001_G01_D01_B01_T01",50,50,0.08,4,46,0.60176797894598,0.0615162556671584,0.060037698007361
"S001_G01_D01_B01_T01",50,50,0.1,5,45,0.60176797894598,0.0600516623295238,0.0589750459913304
"S001_G01_D01_B01_T01",50,100,0.02,2,98,0.876239552431274,0.087433811103534,0.0872412456975877
"S001_G01_D01_B01_T01",50,100,0.04,4,96,0.876239552431274,0.0879959920744877,0.0861998543942906
"S001_G01_D01_B01_T01",50,100,0.06,6,94,0.876239552431274,0.0893332465436961,0.0880038494522171
"S001_G01_D01_B01_T01",50,100,0.08,8,92,0.876239552431274,0.086448776401733,0.0887559518176923
"S001_G01_D01_B01_T01",50,100,0.1,10,90,0.876239552431274,0.0875661272833264,0.0868942338312604
"S001_G01_D01_B01_T01",50,150,0.02,3,147,0.831386317644268,0.0817210511095263,0.0831722553886613
"S001_G01_D01_B01_T01",50,150,0.04,6,144,0.831386317644268,0.0823727043424174,0.0828258036404476
"S001_G01_D01_B01_T01",50,150,0.06,9,141,0.831386317644268,0.0825653261828469,0.0841677321359236
"S001_G01_D01_B01_T01",50,150,0.08,12,138,0.831386317644268,0.0819809131554421,0.0833389353564847
"S001_G01_D01_B01_T01",50,150,0.1,15,135,0.831386317644268,0.0812140612228773,0.0829055927679269
"S001_G01_D01_B01_T01",50,200,0.02,4,196,0.806567840964533,0.0804963436210202,0.0811442240482569
"S001_G01_D01_B01_T01",50,200,0.04,8,192,0.806567840964533,0.0808326480857236,0.0808600973564433
"S001_G01_D01_B01_T01",50,200,0.06,12,188,0.806567840964533,0.0803099453861872,0.0800846426285803
"S001_G01_D01_B01_T01",50,200,0.08,16,184,0.806567840964533,0.0793786919545755,0.0806091237474512
"S001_G01_D01_B01_T01",50,200,0.1,20,180,0.806567840964533,0.0790270869714674,0.0807755536324624
"S001_G01_D01_B01_T02",50,50,0.02,1,49,0.731036199380876,0.0721832283216016,0.0736869043176528
"S001_G01_D01_B01_T02",50,50,0.04,2,48,0.731036199380876,0.0712604601992294,0.0714109616366495
"S001_G01_D01_B01_T02",50,50,0.06,3,47,0.731036199380876,0.0675270394496294,0.067150049008131
"S001_G01_D01_B01_T02",50,50,0.08,4,46,0.731036199380876,0.0695219000683865,0.0751954050937248
"S001_G01_D01_B01_T02",50,50,0.1,5,45,0.731036199380876,0.0695806444570888,0.0694905695240386
"S001_G01_D01_B01_T02",50,100,0.02,2,98,0.769476646994473,0.0754313994079875,0.077113177818628
"S001_G01_D01_B01_T02",50,100,0.04,4,96,0.769476646994473,0.0750688577835821,0.0770368732457189
"S001_G01_D01_B01_T02",50,100,0.06,6,94,0.769476646994473,0.0746673944367468,0.0777540738866106
"S001_G01_D01_B01_T02",50,100,0.08,8,92,0.769476646994473,0.0755521437837742,0.0771131352307741
"S001_G01_D01_B01_T02",50,100,0.1,10,90,0.769476646994473,0.0728843645070307,0.0752938600770012
"S001_G01_D01_B01_T02",50,150,0.02,3,147,0.89494799004076,0.0905722924736049,0.0898293961647479
"S001_G01_D01_B01_T02",50,150,0.04,6,144,0.89494799004076,0.0890446318616672,0.0898278976429766
"S001_G01_D01_B01_T02",50,150,0.06,9,141,0.89494799004076,0.090793358144057,0.0901554036773322
"S001_G01_D01_B01_T02",50,150,0.08,12,138,0.89494799004076,0.0897286664770078,0.0903205842659576
"S001_G01_D01_B01_T02",50,150,0.1,15,135,0.89494799004076,0.089317423085575,0.0898032587453909
"S001_G01_D01_B01_T02",50,200,0.02,4,196,0.894170850004535,0.0901458594343951,0.0904188865180546
"S001_G01_D01_B01_T02",50,200,0.04,8,192,0.894170850004535,0.0900721593406564,0.0904257895332994
"S001_G01_D01_B01_T02",50,200,0.06,12,188,0.894170850004535,0.0897571862973506,0.0906243389068358
"S001_G01_D01_B01_T02",50,200,0.08,16,184,0.894170850004535,0.0887659053390147,0.0897197542459099
"S001_G01_D01_B01_T02",50,200,0.1,20,180,0.894170850004535,0.0888690591674624,0.0905292801654944
